Topografia,Pendiente2,Aspecto,Perfil de Curvatura,Plano de Curvatura,Deslizamientos,Tmax,Tmin,Viento,Humedad,Solar,Precip30
2760.199951,5.3383498,22.4899998,-0.0002349,-0.0029499,1,27.4708996,20.1742001,1.0721999,0.913533,18.9911003,391.8699951
2762,1.8015,49.9514008,-0.0023323,-0.0036675,1,27.4708996,20.1742001,1.07221,0.913532,18.9913006,391.8680115
2762,2.3993599,27.1622009,-0.0005957,-0.0035291,1,27.4708004,20.1739998,1.07223,0.913529,18.9916992,391.8619995
2761.48999,4.0665302,41.4986992,-0.0004745,-0.0008817,1,27.4706993,20.1739006,1.07224,0.913528,18.9918003,391.8609924
2761.649902,1.84433,0.181907,-0.0021971,-0.0039431,1,27.4706993,20.1737995,1.07226,0.913526,18.9922009,391.855011
2763,8.95397,26.9223995,-0.0010693,-0.0017774,1,27.4705009,20.1735001,1.07231,0.91352,18.9930992,391.8410034
2761.550049,4.1325402,40.0242996,-0.0008293,-0.0031856,1,27.4703999,20.1732998,1.07234,0.913518,18.9934006,391.8349915
2761.540039,1.53948,352.8739929,-0.0001551,-0.0034569,1,27.4703007,20.1732006,1.07236,0.913515,18.9937992,391.8299866
2761.860107,1.93001,2.1902299,0.0002522,-0.003271,1,27.4701996,20.1730003,1.0723799,0.913513,18.9941006,391.8240051
2763.040039,14.4503002,359.7420044,0.0009544,-0.0036558,1,27.4701996,20.1730003,1.07239,0.913512,18.9943008,391.821991
2763.050049,14.1794996,359.3540039,0.0004232,-0.0034481,1,27.4701004,20.1728001,1.07241,0.91351,18.9946003,391.8160095
1919.910034,30.6837006,240.7120056,-0.0033198,-0.0139574,1,27.6270008,20.4689007,1.02869,0.918567,18.2320004,402.9719849
1917.560059,23.8194008,235.8569946,-0.0032055,-0.01524,1,27.6268005,20.4682007,1.02879,0.918554,18.2338009,402.9580078
1914.839966,24.0070992,232.0509949,-0.0046519,-0.0157741,1,27.6264992,20.4675999,1.02888,0.918542,18.2355003,402.9429932
1906.930054,22.3236008,233.1990051,-0.0011751,-0.0092498,1,27.6263008,20.4668999,1.02898,0.918529,18.2373009,402.928009
1902.069946,16.1121006,230.572998,-0.0003181,-0.0001189,1,27.6261005,20.4662991,1.02907,0.918517,18.2390003,402.9129944
1936.98999,49.1063995,241.8809967,-0.002473,-0.0130476,1,27.6275005,20.4701996,1.0285,0.918592,18.2285004,403.0020142
1926.349976,41.4485016,242.0500031,-0.0013522,-0.0113144,1,27.6273003,20.4696007,1.02859,0.91858,18.2303009,402.9869995
1349.76001,40.8282013,140.9060059,-0.0053543,-0.0209446,1,27.7420006,20.6994991,0.99362,0.922668,17.6130009,413.1610107
1336.449951,32.5821991,141.3820038,-0.000657,-0.0065928,1,27.7415009,20.6989994,0.993703,0.922661,17.6142998,413.1140137
1350.719971,43.4676018,126.7450027,-0.0058516,-0.0228624,1,27.7423992,20.6994991,0.993605,0.922664,17.6130009,413.2059937
1334.869995,30.4087009,137.7059937,-0.0011693,-0.0084321,1,27.7420006,20.6989994,0.993689,0.922657,17.6144009,413.1589966
1333.900024,7.67308,297.7149963,-0.0049486,-0.0014284,1,27.7415009,20.6984997,0.993773,0.92265,17.6156998,413.1109924
1336.550049,37.4123993,128.6360016,-0.0007604,-0.0086311,1,27.7423992,20.6989994,0.993675,0.922653,17.6144009,413.20401
1329.699951,2.1758399,219.973999,-0.0022711,-0.0061426,1,27.7418995,20.6984997,0.993758,0.922646,17.6158009,413.1560059
1336.729981,35.1747017,301.9049988,-0.0010808,-0.003329,1,27.7415009,20.698,0.993842,0.922639,17.6170998,413.1080017
1360.040039,40.9485016,305.2990112,-0.0005109,-0.0020288,1,27.7411003,20.6975002,0.993926,0.922632,17.6184006,413.0610046
1329.900024,7.4728498,155.9799957,-0.0035706,-0.0055994,1,27.7423,20.6986008,0.993744,0.922641,17.6158009,413.2009888
1334.76001,31.9806004,311.8460083,3.8E-06,-0.0024855,1,27.7418995,20.6980991,0.993828,0.922634,17.6172009,413.1530151
1350.27002,41.9547005,308.5599976,-0.0009768,-0.0025584,1,27.7415009,20.6975994,0.993912,0.922627,17.6184998,413.1059875
1365.810059,30.4283009,303.0440063,-6.4E-06,-0.00129,1,27.7411003,20.6970997,0.993996,0.92262,17.6198997,413.0580139
1332.920044,28.8689003,298.9630127,-0.0007444,-0.0030264,1,27.7423,20.6980991,0.993813,0.92263,17.6172009,413.197998
1350,42.5093002,306.1799927,-0.0012487,-0.0027412,1,27.7418995,20.6975994,0.993898,0.922623,17.6186008,413.151001
1366.420044,34.260601,313.1600037,0.0002233,-0.0019549,1,27.7415009,20.6970997,0.993982,0.922616,17.6198997,413.1029968
1370.030029,16.5014,316.0339966,-0.0010741,-0.006241,1,27.7409992,20.6966,0.994066,0.922609,17.6212997,413.0559998
1363.119995,38.8660011,304.2369995,-0.0005201,-0.0038336,1,27.7418995,20.6970997,0.993967,0.922612,17.6200008,413.1480103
1370.52002,17.9419994,309.7539978,-0.0026167,-0.0110094,1,27.7413998,20.6966,0.994052,0.922605,17.6212997,413.1000061
1371.51001,6.3025599,317.2749939,-0.0066136,-0.0241005,1,27.7409992,20.6961002,0.994136,0.922598,17.6226997,413.053009
1426.359985,72.1784973,23.9640007,-0.0180652,-0.037904,1,27.7341995,20.6882,0.995475,0.922486,17.6441002,412.3009949
1403.069946,69.1306992,17.6515007,-0.0162854,-0.047771,1,27.7336998,20.6877003,0.995558,0.922479,17.6453991,412.2539978
1390.680054,65.0652008,14.5228996,-0.0125483,-0.0576415,1,27.7332993,20.6872005,0.995641,0.922472,17.6466999,412.2080078
1369.969971,24.9556007,310.0950012,-0.0034984,-0.0140566,1,27.7418003,20.6966,0.994037,0.922601,17.6214008,413.144989
1524.959961,70.9375,21.8285007,-0.0066413,-0.0009326,1,27.7345009,20.6882,0.995464,0.922482,17.6441994,412.3439941
1500.540039,74.0231018,19.3619995,-0.0102425,-0.013867,1,27.7341003,20.6877003,0.995547,0.922475,17.6455002,412.2980042
1475,74.896698,15.0214005,-0.0100701,-0.0244593,1,27.7336998,20.6872005,0.99563,0.922468,17.6467991,412.2510071
1455.27002,74.7873001,12.1775999,-0.0098685,-0.033749,1,27.7332993,20.6867008,0.995714,0.922461,17.6481991,412.2049866
1436.76001,74.2307968,11.6653004,-0.0080085,-0.0408049,1,27.7327995,20.6861992,0.995797,0.922454,17.6494999,412.1579895
1419.619995,73.089798,10.7554998,-0.0057861,-0.0487983,1,27.7324009,20.6856995,0.99588,0.922447,17.6508007,412.1119995
1407.869995,71.4313965,9.1313801,-0.0040876,-0.0557165,1,27.7320004,20.6851997,0.995963,0.92244,17.6522007,412.0660095
1572.780029,68.1678009,10.7461004,0.0036772,0.023423,1,27.7345009,20.6877003,0.995536,0.92247,17.6455994,412.3410034
1562.930054,71.6615982,12.8466997,-0.0002828,0.0200685,1,27.7341003,20.6872005,0.995619,0.922463,17.6469994,412.2950134
1548.670044,73.8929977,11.9591999,-0.003246,0.010674,1,27.7336998,20.6867008,0.995703,0.922456,17.6483002,412.2479858
1535.5,75.168602,10.2903996,-0.0053581,0.0003324,1,27.7332001,20.6861992,0.995786,0.922449,17.6495991,412.2019958
1522,76.0318985,10.0367002,-0.0054516,-0.0083692,1,27.7327995,20.6856995,0.995869,0.922442,17.6509991,412.1560059
